event_id,event_name,start_date,end_date
1,Conference,2024-03-15,2024-03-18
2,Music Festival,2024-04-20,2024-04-25
3,Art Exhibition,2024-05-10,2024-05-15
4,Tech Summit,2024-06-05,2024-06-08
5,Food Tasting,2024-07-12,2024-07-15
6,Sports Tournament,2024-08-18,2024-08-22
7,Fashion Show,2024-09-22,2024-09-25
8,Book Fair,2024-10-10,2024-10-15
9,Film Festival,2024-11-25,2024-11-30
10,Business Expo,2025-01-05,2025-01-10
11,Health & Wellness Expo,2025-02-20,2025-02-25
12,Science Symposium,2025-04-02,2025-04-07
13,Cultural Celebration,2025-05-15,2025-05-20
14,Outdoor Adventure,2025-06-30,2025-07-05
15,Gaming Convention,2025-08-10,2025-08-15
